iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__bootstrap,param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,818,0.6692474365234375,0.035342398075233386,0.05458102226257324,0.014592994835327984,True,entropy,,sqrt,1,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.43220773437955085,0.5120749763854591,0.5313593148443899,0.4186118291204807,0.48485340362524304,0.47582145167102474,0.04394415934920854,220,0.9538025592280839,0.9454155381652934,0.9459389803195318,0.935078397308416,0.9303822962167447,0.942123554247614,0.008358052021897834
0,818,1.2629807472229004,0.02118646018941145,0.1244363784790039,0.017837153249553983,True,entropy,,sqrt,1,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.41785075321704696,0.5091851564457593,0.5314521963349832,0.4155870885583981,0.46920873083857634,0.4686567850789528,0.04686952691657578,224,0.9507962754384391,0.9474404678176425,0.9460338894509093,0.9303955467579517,0.9318294758403692,0.9412991310610623,0.00847221607546136
0,818,0.6542743682861328,0.06360846683692874,0.060809755325317384,0.01303318200848858,True,entropy,,sqrt,3,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.38772521865708265,0.5073017872744475,0.5074914257567299,0.4433202230530551,0.4390146345166583,0.45697065785159463,0.04558345000576268,235,0.9067357351228187,0.8851405514773856,0.8862880382987436,0.8806676809995424,0.8709761954210903,0.8859616402639162,0.011704130053185597
0,818,1.452990436553955,0.1263129007966178,0.11147894859313964,0.026472317284058924,True,entropy,,sqrt,3,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.3561955751873063,0.5137847738878257,0.5021423957033453,0.4336051164536462,0.4315418068480804,0.4474539336160408,0.05685715742950932,245,0.9022869055266576,0.8807249583509149,0.896295738201714,0.8760678514166188,0.8746368369906785,0.8860024580973167,0.011196969232784796
0,818,0.7043373584747314,0.05151971363590213,0.06326808929443359,0.010714834041535637,True,entropy,,sqrt,3,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.3392416463005208,0.4925757504437309,0.5103509226131829,0.40492261152660913,0.4592016142764969,0.4412585090321081,0.062380948430580854,254,0.8471171461352742,0.8402825881571867,0.827749415095253,0.8271935006767185,0.8338021152379318,0.8352289530604728,0.007608103727356451
0,818,1.2610449314117431,0.11799565356522937,0.13106951713562012,0.007008625817963816,True,entropy,,sqrt,3,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.36359462575755913,0.5022455276199843,0.5107809915109629,0.4142549864960547,0.4381758468807698,0.44581039565306624,0.055171669265643125,250,0.8495349657754222,0.8364560962485483,0.8295557345499922,0.8313942991094171,0.8342350588799754,0.8362352309126712,0.007056666485802542
0,818,0.6342978477478027,0.06007711855431444,0.05103602409362793,0.0037134724080713733,True,entropy,,log2,1,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.39982081182722806,0.5023071788561616,0.4927574551065546,0.4283453937333981,0.491033553809992,0.4628528786666669,0.04100947186564764,228,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,818,1.3841008186340331,0.05534698146702977,0.1343001365661621,0.012703772960682862,True,entropy,,log2,1,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.43576454208577237,0.5133520884280685,0.48644707876400867,0.43415801752636574,0.5064602097859339,0.47523638731802986,0.03405546180598325,222,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,818,0.6184676647186279,0.05509503974376427,0.06759023666381836,0.01796022906108382,True,entropy,,log2,1,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.45310070929607293,0.5318042031081228,0.5368197252197876,0.43819348420111304,0.5194207628351418,0.49586777693204764,0.041661920397444846,171,0.9454152932314435,0.9591235106126164,0.9604135939915142,0.9349015676283551,0.9283254406491797,0.9456358812226217,0.012768887512154789
0,818,1.395671558380127,0.022612360385118654,0.14304041862487793,0.014860128356449885,True,entropy,,log2,1,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.457143782741135,0.5439056888870958,0.5351529552145876,0.4260708992869148,0.5347526727212005,0.49940519977018677,0.048314772878807435,164,0.9504693747867593,0.9621608591565491,0.9558055968134774,0.9410260469280194,0.9298580140456892,0.9478639783460989,0.011359843765374768
